Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_E,LV_03_N,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_23,Panel_befestigt,Luftung_30s
1,VonRoll_PH,VonRoll,02f54d63d5c4,46.95291,7.42252,2598773.7,1200203.5,553.9,Hauptnetz,Uni_Bern_(VonRoll)_&_EWB,Lichtmasten,ja,ja,ja
7,Kreuzung_Brunmatt-_Schwarztorstrasse,Brunnhof,23c9b05d9c07,46.94479,7.42713,2599124.4,1199300.1,528.6,Hauptnetz,TAB,Ampel,nein,ja,ja
8,Wankdorf_ESP,Wankdorf_ESP,3b2fc2434bc8,46.968,7.46247,2601814.2,1201881.4,550.5,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
9,Bremgartenfriedhof,Bremgartenfriedhof,3ff9a6a3e7cf,46.9503,7.42015,2598592.61,1199912.8,552.4,Hauptnetz,Stadtgrun,Laterne,nein,ja,ja
10,"Langgasse,_Neufeldstrasse_135",Hintere_Langgasse,835e566128f7,46.95789,7.43541,2599754.9,200756.72,558.5,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
13,Egelsee,Egelsee,flc322fed147,46.94469,7.46442,2601963,1199289.4,549.1,Hauptnetz,???_(egal),Lampe,ja,ja,ja
14,Helvetiaplatz,Helvetiaplatz,d84fa928944b,46.94381,7.44885,2600777.8,1199191.1,530.8,Hauptnetz,TAB,Verkehrsschild,ja,ja,ja
16,Bubenbergplatz,Bubenbergplatz,1564ef396f0f,46.94728,7.43843,2599984.7,1199577.3,542.5,Hauptnetz,BERNMOBIL,Masten,nein,ja,ja
17,Rosengarten,Rosengarten,e31e30079a9c,46.95188,7.4602,2601641.8,1200088.5,568.4,Hauptnetz,Stadtgrun,Laterne,nein,ja,ja
19,Galgenfeld_Neubausiedlung,Galgenfeld_Neubausiedlung,79ecf19c1a47,46.95063,7.46987,2602378.1,1199950.3,579.2,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
21,Gaswerkareal_Industrie_EWB,Gaswerk,5c50c3270b91,46.93964,7.44166,2600230.5,1198727.9,502.9,Hauptnetz,"Zaun,_",Schild,nein,ja,ja
22,Matte_Muhleplatz,Matte_Muhleplatz,bfe2ab80321,46.94701,7.45583,2601309.3,1199546.8,499.5,Hauptnetz,TAB,Verkehrsschild,nein,ja,ja
23,"Ostermundigen,_Ahornstr_16",Ostermundigen_Ahornstrasse,84251a508492,46.95566,7.49879,2604579.1,1200510.9,574.6,Hauptnetz,Gemeinde_Ostermundigen,Strassenlampe,nein,ja,ja
25,Koniz_Neubausiedlung,Liebefeld,e15a04fd7037,46.92781,7.42031,2598604.9,1197412.9,567.2,Hauptnetz,Gemeinde_Koniz,Lampe,ja,ja,ja
26,Inselspital,Inselspital,7b36c77aba0d,46.94719,7.42571,2599016.1,1199567.3,543.9,Hauptnetz,BERNMOBIL,Strassenlampe,ja,ja,ja
28,Parkli_bei_Eigerplatz,Parkli_bei_Eigerplatz,86e2042d6857,46.94195,7.43094,2599414.5,1198984.7,524.5,Hauptnetz,ewb,Pfosten,nein,ja,ja
30,Galgenfeld_Industrie,Galgenfeld_Industrie,634f68b0c0cb,46.95553,7.47194,2602535.5,1200495.3,563.6,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
31,Koniz_Aussenquartier,Weiermatt,6e0aef9d54be,46.92041,7.40995,2597815.3,1196590.8,577.2,Hauptnetz,Gemeinde_Koniz,Strassenlampe,nein,ja,ja
32,Bremgartenwald,Bremgartenwald,2343056bd60f,46.95739,7.42128,2598679.5,1200701.4,552.3,Hauptnetz,Burgergemeinde,Baum,ja,nein,nein
33,Dahlholzli-Wald,Dahlholzliwald,44d4eaca941f,46.93798,7.45656,2601365.1,1198543.6,535.2,Hauptnetz,Burgergemeinde,Baum_(Fichte),ja,nein,ja
34,Kasernenareal,Kasernenareal,d0e2d4b4c052,46.95697,7.45801,2601475.3,1200654.6,559.4,Hauptnetz,Kasernenareal,Strassenlampe,ja,ja,ja
36,Viktoriarain,Wyttenbachstrasse,017f7c0231ae,46.95518,7.44773,2600682.8,1200455.9,542.9,Hauptnetz,TAB,"Verkehrsschild_30,_auf_ca_2m75",nein,ja,ja
37,"Lorraine,_Steckweg_15",Lorraine,8ba39c865b00,46.95898,7.44513,2660494.4,120887.6,538.1,Hauptnetz,ewb,Strassenlampe,ja,ja,ja
